user_id,business_id,pred_rating,true_rating,user_name,business_name
1o8vB0WKHfV7omrYWB_OLg,zC9NB_In4hOci0QwDUHGEg,5.0,5.0,Eva,Big Sky Computers Llc
I-4KVZ9lqHhk8469X9FvhA,uGupeWqih0yIcCg8anM1PA,5.0,5.0,Susan,The Palazzo Las Vegas
XQOWYd0VM9gDEepzzcRNEg,ctGtC-W42WD_UmqEVe-uUQ,5.0,5.0,June,Ernesto's Service
5vFZ15MXySh_ggS7REdA2w,z2logeaPb5B6mamb3N3fHg,5.0,5.0,Ezra,Swift Garage Door Repair of Las Vegas
MzIzsHa1kssFkviGufm-dw,XeFw8cW2uIF7m0Hcc17JQA,5.0,5.0,Hamilton,Best One Cleaners
31GGdW0v1NsQoD5xkHlsxQ,HaKLqiy-Ph4EjEIx-sJwNg,5.0,5.0,Kobi,Serv-All Water Conditioning
f_5VRh79aew1cVWUmC1PJA,Lcn8bGwxg3kilmtRbOn9ZQ,5.0,5.0,Leah,Southern Hills Animal Hospital
Bhc91b8DfAYeceqhHRnqHA,zGgc_7rok8kq77qQF3KEKg,5.0,4.0,Sharmaine,Twilight Zone By Monster Mini Golf
u6wAG4h60a0vOikJ1wtjcg,qxTtvf73qDcPaFckkGJwVw,5.0,5.0,Rick,The Gentlemen's Quarters
5PTZFJ0etDjWN3BvbqNDVg,LR0_oa52WI3XaaiVKfrD8Q,5.0,5.0,Paul,Premier Telecom iPhone Repair
